,date,open,close,high,low,volume,code
0,2017-01-03,11.77,11.81,11.829,11.681,33196.0,601360
1,2017-01-04,11.76,11.938,11.977,11.701,29360.0,601360
2,2017-01-05,11.928,11.859,12.125,11.849,30703.0,601360
3,2017-01-06,11.8,11.82,11.908,11.78,17686.0,601360
4,2017-01-09,11.79,11.839,11.898,11.731,19194.0,601360
5,2017-01-10,11.869,11.77,11.869,11.741,17681.0,601360
6,2017-01-11,11.77,11.612,11.82,11.602,20806.0,601360
7,2017-01-12,11.602,11.405,11.681,11.366,17666.0,601360
8,2017-01-13,11.484,11.326,11.662,11.297,31434.0,601360
9,2017-01-16,11.405,10.951,11.405,10.576,27962.0,601360
10,2017-01-17,10.941,11.03,11.07,10.675,21388.0,601360
11,2017-01-18,11.011,10.892,11.109,10.863,21678.0,601360
12,2017-01-19,10.853,10.833,10.892,10.724,21207.0,601360
13,2017-01-20,10.823,11.05,11.089,10.764,21784.0,601360
14,2017-01-23,11.001,11.247,11.306,11.001,21765.0,601360
15,2017-01-24,11.247,11.336,11.395,11.168,24985.0,601360
16,2017-01-25,11.267,11.287,11.415,11.247,16731.0,601360
17,2017-01-26,11.405,11.336,11.405,11.247,17397.0,601360
18,2017-02-03,11.326,11.228,11.326,11.139,15613.0,601360
19,2017-02-06,11.178,11.336,11.366,11.168,18374.0,601360
20,2017-02-07,11.277,11.425,11.435,11.277,20200.0,601360
21,2017-02-08,11.435,11.553,11.602,11.366,16496.0,601360
22,2017-02-09,11.494,11.602,11.632,11.494,19846.0,601360
23,2017-02-10,11.593,11.563,11.691,11.524,20569.0,601360
24,2017-02-13,11.563,11.691,11.81,11.524,19967.0,601360
25,2017-02-14,11.642,11.602,11.78,11.543,14123.0,601360
26,2017-02-15,11.602,11.464,11.672,11.395,16332.0,601360
27,2017-02-16,11.464,11.563,11.612,11.415,16065.0,601360
28,2017-02-17,11.573,11.632,11.76,11.494,18659.0,601360
29,2017-02-20,12.106,11.79,12.106,11.701,30233.0,601360
30,2017-02-21,11.8,11.721,11.82,11.662,35356.0,601360
31,2017-02-22,11.721,11.711,11.76,11.642,27226.0,601360
32,2017-02-23,11.731,11.81,11.829,11.652,24881.0,601360
33,2017-02-24,11.741,11.76,11.869,11.681,23030.0,601360
34,2017-02-27,11.691,11.405,11.741,11.385,40412.0,601360
35,2017-02-28,11.445,11.622,11.632,11.405,30898.0,601360
36,2017-03-01,11.642,11.602,11.76,11.573,26741.0,601360
37,2017-03-02,11.602,11.494,11.681,11.464,21266.0,601360
38,2017-03-03,11.504,11.642,11.652,11.454,18575.0,601360
39,2017-03-06,11.642,11.78,11.79,11.642,28832.0,601360
40,2017-03-07,11.76,11.82,11.849,11.691,27426.0,601360
41,2017-03-08,11.82,11.879,11.928,11.8,29106.0,601360
42,2017-03-09,11.879,11.721,11.938,11.672,28074.0,601360
43,2017-03-10,11.731,11.889,12.017,11.731,35881.0,601360
44,2017-03-13,11.889,11.898,11.938,11.691,25459.0,601360
45,2017-03-14,11.869,11.839,11.928,11.79,21404.0,601360
46,2017-03-15,11.82,11.672,11.82,11.642,19183.0,601360
47,2017-03-16,11.731,11.82,11.829,11.681,23411.0,601360
48,2017-03-17,11.82,11.79,11.938,11.76,32764.0,601360
49,2017-03-20,11.829,11.977,11.977,11.691,43991.0,601360
50,2017-03-21,11.968,11.869,11.987,11.829,25087.0,601360
51,2017-03-22,11.839,11.691,11.898,11.622,38552.0,601360
52,2017-03-23,11.672,11.583,11.76,11.484,43541.0,601360
53,2017-03-24,11.593,11.563,11.602,11.366,39315.0,601360
54,2017-03-27,11.553,11.573,11.593,11.504,23822.0,601360
55,2017-03-28,11.573,11.711,11.75,11.514,28444.0,601360
56,2017-03-29,11.8,11.543,12.421,11.435,71441.0,601360
57,2017-03-30,11.425,10.991,11.425,10.922,66491.0,601360
58,2017-03-31,11.011,10.981,11.04,10.853,33788.0,601360
59,2017-04-05,10.991,11.198,11.198,10.971,40438.0,601360
60,2017-04-06,11.139,11.149,11.237,11.129,28233.0,601360
61,2017-04-07,11.168,11.247,11.356,11.139,32686.0,601360
62,2017-04-10,11.306,11.237,11.395,11.198,34115.0,601360
63,2017-04-11,11.237,11.109,11.237,10.882,28365.0,601360
64,2017-04-12,11.06,11.04,11.149,11.03,26265.0,601360
65,2017-04-13,11.05,11.05,11.129,10.981,23933.0,601360
66,2017-04-14,11.05,10.892,11.089,10.882,28804.0,601360
67,2017-04-17,10.902,10.744,10.902,10.685,24588.0,601360
68,2017-04-18,10.695,10.458,10.744,10.448,34049.0,601360
69,2017-04-19,10.448,10.251,10.448,10.063,38262.0,601360
70,2017-04-20,10.241,10.142,10.261,9.945,34158.0,601360
71,2017-04-21,10.103,10.142,10.182,10.103,16353.0,601360
72,2017-04-24,10.162,9.856,10.162,9.846,24134.0,601360
